category path = Root\Kit Serial Numbers
Miguel Cantu,,,,Chris Rucker (Quality),,,,,,Chris Hoagland,,,,,,,,,,,,,,,,,,
Serial #,,Part #,,Capacitance,,Esr,,Leakage,,Anode Lot,,,,,Cathode Lot,,Tantalum Lot,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entered Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial #,,Part #,,Capacitance,,Esr,,Leakage,,Anode Lot,,,,,Cathode Lot,,Tantalum Lot,,Teflon Spacer 1,,Teflon Spacer 2,,Teflon Spacer 3,,Teflon Lot #,,Comments,
100499358.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499359.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499360.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499361.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499362.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499363.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499364.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499365.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499366.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499367.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499368.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499369.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499370.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499371.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499372.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499373.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499374.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499375.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499376.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499377.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499378.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499379.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499380.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499381.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499382.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499383.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499384.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499385.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499386.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499387.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499388.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499389.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499390.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499391.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499392.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499393.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499394.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499395.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499396.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
100499397.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
