category path = Root\Kit Serial Numbers
Miguel Cantu,,,,Chris Rucker (Quality),,,,,,Chris Hoagland,,,,,,,,,,,,,,,,,,
Serial #,,Part #,,Capacitance,,Esr,,Leakage,,Anode Lot,,,,,Cathode Lot,,Tantalum Lot,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entered Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial #,,Part #,,Capacitance,,Esr,,Leakage,,Anode Lot,,,,,Cathode Lot,,Tantalum Lot,,Teflon Spacer 1,,Teflon Spacer 2,,Teflon Spacer 3,,Teflon Lot #,,Comments,
1234,,,,,,,,,,,,,,,,,,,,,,,,,,,fghjc,
1235,,,,,,,,,,,,,,,,,,,,,,,,,,,fghjc,
1236,,,,,,,,,,,,,,,,,,,,,,,,,,,fghjc,
1237,,,,,,,,,,,,,,,,,,,,,,,,,,,fghjc,
1238,,,,,,,,,,,,,,,,,,,,,,,,,,,fghjc,
1239,,,,,,,,,,,,,,,,,,,,,,,,,,,fghjc,
1240,,,,,,,,,,,,,,,,,,,,,,,,,,,fghjc,
1241,,,,,,,,,,,,,,,,,,,,,,,,,,,fghjc,
1242,,,,,,,,,,,,,,,,,,,,,,,,,,,fghjc,
1243,,,,,,,,,,,,,,,,,,,,,,,,,,,fghjc,
1244,,,,,,,,,,,,,,,,,,,,,,,,,,,fghjc,
1245,,,,,,,,,,,,,,,,,,,,,,,,,,,fghjc,
1246,,,,,,,,,,,,,,,,,,,,,,,,,,,fghjc,
1247,,,,,,,,,,,,,,,,,,,,,,,,,,,fghjc,
1248,,,,,,,,,,,,,,,,,,,,,,,,,,,fghjc,
1249,,,,,,,,,,,,,,,,,,,,,,,,,,,fghjc,
1250,,,,,,,,,,,,,,,,,,,,,,,,,,,fghjc,
1251,,,,,,,,,,,,,,,,,,,,,,,,,,,fghjc,
1252,,,,,,,,,,,,,,,,,,,,,,,,,,,fghjc,
1253,,,,,,,,,,,,,,,,,,,,,,,,,,,fghjc,
